Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
2001,4,118,Anaheim Ducks,Brandon Rogers,US,D,19,,Hotchkiss,High-CT,,,,,,,
2002,4,118,Washington Capitals,Petr Dvorak,CZ,C,18,,Havirov-Jr.,Czech-Jr.,,,,,,,
2003,4,118,Boston Bruins,Frank Rediker,US,D,18,,Windsor,OHL,,,,,,,
2004,4,118,Calgary Flames,Aki Seitsonen,FI,C,18,,Prince Albert,WHL,,,,,,,
2005,4,118,Washington Capitals,Patrick McNeill,CA,D,18,,Saginaw,OHL,,,,,,,
1993,5,118,New York Islanders,Tommy Salo\saloto01,SE,G,22,2004,Vasteras,Sweden-2,x,526,0,7,7,0,67
1994,5,118,Chicago Blackhawks,Marc Dupuis,CA,,,,Cornwall,OHL,,,,,,,
1995,5,118,Los Angeles Kings,Jason Morgan\morgaja01,CA,C,18,2007,Kingston,OHL,x,44,2,5,7,-9,18
1996,5,118,New Jersey Devils,Glenn Crawford,CA,,,,Windsor,OHL,,,,,,,
1997,5,118,Montreal Canadiens,Konstantin Sidulov,RU,,,,Traktor Chelyabinsk,KHL,,,,,,,
1998,5,118,Washington Capitals,Mike Siklenka\siklemi01,CA,RW,18,2004,Lloydminster,AJHL,x,2,0,0,0,0,0
1999,4,119,Philadelphia Flyers,Jeff Feniak,CA,,,,Calgary,WHL,,,,,,,
2000,4,119,Colorado Avalanche,Brian Fahey\faheybr01,US,D,19,2011,Wisconsin,WCHA,x,7,0,1,1,-1,2
2001,4,119,Chicago Blackhawks,Alexei Zotkin,RU,LW,19,,Magnitogorsk,KHL,,,,,,,
2002,4,119,Columbus Blue Jackets,Jekabs Redlihs,LV,D,20,,NY Apple Core,EJHL,,,,,,,
2003,4,119,Anaheim Ducks,Nathan Saunders,CA,D,18,,Moncton,QMJHL,,,,,,,
2004,4,119,Phoenix Coyotes,Kevin Porter\porteke01,US,C,18,2017,U.S. National U-18,USNTDP,x,249,29,29,58,-27,60
2005,4,119,Philadelphia Flyers,Jeremy Duchesne\ducheje01,US,G,18,2010,Halifax,QMJHL,x,1,0,0,0,0,0
1993,5,119,Winnipeg Jets,Larry Courville\courvla01,CA,LW,18,1998,Newmarket,OHL,x,33,1,2,3,-10,16
1994,5,119,Washington Capitals,Yanick Jean,CA,,,,Chicoutimi,QMJHL,,,,,,,
1995,5,119,Buffalo Sabres,Kevin Popp,CA,,,,Seattle,WHL,,,,,,,
1996,5,119,Phoenix Coyotes,Richard Lintner\lintnri01,CS,D,18,2003,Dukla Trencin,Slovakia,x,112,8,12,20,-18,54
1997,5,119,Ottawa Senators,Magnus Arvedson\arvedma01,SE,LW,25,2004,Farjestad,Sweden,x,434,100,125,225,109,241
1998,5,119,New Jersey Devils,Anton But,UA,,,,Torpedo Yaroslavl 2,Russia-2,,,,,,,
1999,4,120,Detroit Red Wings,Jari Tolsa,SE,,,,Vastra Frolunda Jr.,Sweden-Jr.,,,,,,,
2000,4,120,Florida Panthers,Davis Parley,CA,,,,Kamloops,WHL,,,,,,,
2001,4,120,Pittsburgh Penguins,Tomas Surovy\surovto01,CS,C,19,2006,Poprad,Slovakia,x,126,27,32,59,-21,71
2002,4,120,St. Louis Blues,Robin Jonsson,SE,D,18,,Bofors,,,,,,,,
2003,4,120,New York Islanders,Stefan Blaho,SK,RW,18,,Dukla Trencin Jr.,,,,,,,,
2004,4,120,Chicago Blackhawks,Mitch Maunu,CA,D,18,,Windsor,OHL,,,,,,,
2005,4,120,Edmonton Oilers,Viacheslav Trukhno,RU,LW,18,,Prince Edward,QMJHL,,,,,,,
1993,5,120,Los Angeles Kings,Tomas Vlasak\vlasato01,CS,C,18,2001,Slavia Praha,Czech-2,x,10,1,3,4,4,2
1994,5,120,St. Louis Blues,Edvin Frylen,SE,,,,Vasteras,Sweden-2,,,,,,,
1995,5,120,Vancouver Canucks,Todd Norman,CA,,,,Guelph,OHL,,,,,,,
1996,5,120,Los Angeles Kings,Jesse Black,CA,,,,Niagara Falls,OHL,,,,,,,
1997,5,120,Chicago Blackhawks,Peter Gardiner,CA,,,,RPI,ECAC,,,,,,,
1998,5,120,Calgary Flames,Brent Gauvreau,CA,,,,Oshawa,OHL,,,,,,,
